OFFICIAL ELECTION RESULTS
Bucks
nameplace,Contest Name,Candidate Name,Votes,Voter Turnout
"Newtown Boro 1st","Auditor General (Rep)","Write-in","1","38.78%"
"Newtown Boro 1st","State Treasurer (Dem)","Ryan Bizzarro","80","38.78%"
"Newtown Boro 1st","State Treasurer (Dem)","Erin McClelland","99","38.78%"
"Newtown Boro 1st","State Treasurer (Dem)","Write-in","2","38.78%"
"Newtown Boro 1st","State Treasurer (Rep)","Stacy Garrity","107","38.78%"
"Newtown Boro 1st","State Treasurer (Rep)","Write-in","1","38.78%"
"Newtown Boro 1st","Representative in Congress (Dem)","Ashley Ehasz","191","38.78%"
"Newtown Boro 1st","Representative in Congress (Dem)","Write-in","2","38.78%"
"Newtown Boro 1st","Representative in Congress (Rep)","Brian Fitzpatrick","86","38.78%"
"Newtown Boro 1st","Representative in Congress (Rep)","Mark Houck","36","38.78%"
"Newtown Boro 1st","Representative in Congress (Rep)","Write-in","2","38.78%"
"Newtown Boro 1st","Representative in the General Assembly 31st (Dem)","Perry Warren","194","38.78%"
"Newtown Boro 1st","Representative in the General Assembly 31st (Dem)","Write-in","1","38.78%"
"Newtown Boro 1st","Representative in the General Assembly 31st (Rep)","Write-in","27","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","163","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","174","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","170","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","174","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Yota Palli","162","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Charles Quann","161","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","3","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Marie Miller","35","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Ellen Cox","61","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Liz Diehl","32","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Jim Worthington","88","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","David A. Christian","82","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Write-in","3","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Write-in","0","38.78%"
"Newtown Boro 1st","Delegate to the Republican National Convention  (Rep)","Write-in","0","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","40","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","50","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","73","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","7","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","20","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","18","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","50","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","4","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","38.78%"
"Newtown Boro 1st","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","38.78%"
"Newtown Boro 1st","Newtown Boro 1st Ward Committeeman (Rep)","Write-in","9","38.78%"
"Newtown Boro 1st","Newtown Boro 1st Ward Committeewoman (Rep)","Write-in","5","38.78%"
"Newtown Boro 2nd","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","152","35.37%"
"Newtown Boro 2nd","Presidential Electors  (Dem)","Dean Phillips","5","35.37%"
"Newtown Boro 2nd","Presidential Electors  (Dem)","Write-in","5","35.37%"
"Newtown Boro 2nd","Presidential Electors (Rep)","Nikki R. Haley","44","35.37%"
"Newtown Boro 2nd","Presidential Electors (Rep)","Donald J. Trump","104","35.37%"
"Newtown Boro 2nd","Presidential Electors (Rep)","Write-in","4","35.37%"
"Newtown Boro 2nd","United States Senator (Dem)","Robert P. Casey, Jr.","160","35.37%"
"Newtown Boro 2nd","United States Senator (Dem)","Write-in","0","35.37%"
"Newtown Boro 2nd","United States Senator (Rep)","Dave McCormick","138","35.37%"
"Newtown Boro 2nd","United States Senator (Rep)","Write-in","3","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Jack Stollsteimer","27","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Eugene DePasquale","12","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Joe Khan","90","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Keir Bradford-Grey","11","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Jared Solomon","20","35.37%"
"Newtown Boro 2nd","Attorney General (Dem)","Write-in","0","35.37%"
"Newtown Boro 2nd","Attorney General (Rep)","Dave Sunday","85","35.37%"
"Newtown Boro 2nd","Attorney General (Rep)","Craig Williams","51","35.37%"
"Newtown Boro 2nd","Attorney General (Rep)","Write-in","1","35.37%"
"Newtown Boro 2nd","Auditor General (Dem)","Malcolm Kenyatta","118","35.37%"
"Newtown Boro 2nd","Auditor General (Dem)","Mark Pinsley","34","35.37%"
"Newtown Boro 2nd","Auditor General (Dem)","Write-in","0","35.37%"
"Newtown Boro 2nd","Auditor General (Rep)","Tim DeFoor","130","35.37%"
"Newtown Boro 2nd","Auditor General (Rep)","Write-in","1","35.37%"
"Newtown Boro 2nd","State Treasurer (Dem)","Ryan Bizzarro","80","35.37%"
"Newtown Boro 2nd","State Treasurer (Dem)","Erin McClelland","67","35.37%"
"Newtown Boro 2nd","State Treasurer (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","State Treasurer (Rep)","Stacy Garrity","130","35.37%"
"Newtown Boro 2nd","State Treasurer (Rep)","Write-in","1","35.37%"
"Newtown Boro 2nd","Representative in Congress (Dem)","Ashley Ehasz","158","35.37%"
"Newtown Boro 2nd","Representative in Congress (Dem)","Write-in","0","35.37%"
"Newtown Boro 2nd","Representative in Congress (Rep)","Brian Fitzpatrick","122","35.37%"
"Newtown Boro 2nd","Representative in Congress (Rep)","Mark Houck","31","35.37%"
"Newtown Boro 2nd","Representative in Congress (Rep)","Write-in","0","35.37%"
"Newtown Boro 2nd","Representative in the General Assembly 31st (Dem)","Perry Warren","164","35.37%"
"Newtown Boro 2nd","Representative in the General Assembly 31st (Dem)","Write-in","0","35.37%"
"Newtown Boro 2nd","Representative in the General Assembly 31st (Rep)","Write-in","78","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","134","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","141","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","138","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","146","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Yota Palli","133","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Charles Quann","132","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","2","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","Delegate to the Democratic National Convention (Dem)","Write-in","1","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Marie Miller","41","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Ellen Cox","74","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Liz Diehl","43","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Jim Worthington","105","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","David A. Christian","81","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Write-in","4","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Write-in","0","35.37%"
"Newtown Boro 2nd","Delegate to the Republican National Convention  (Rep)","Write-in","0","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","39","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","73","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","81","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","20","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","14","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","16","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","67","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","2","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","35.37%"
"Newtown Boro 2nd","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","35.37%"
"Newtown Boro 2nd","Newtown Boro 2nd Ward Committeeman (Rep)","Evan Lambros","118","35.37%"
"Newtown Boro 2nd","Newtown Boro 2nd Ward Committeeman (Rep)","Write-in","1","35.37%"
"Newtown Boro 2nd","Newtown Boro 2nd Ward Committeewoman (Rep)","Renee Kilgarriff","116","35.37%"
"Newtown Boro 2nd","Newtown Boro 2nd Ward Committeewoman (Rep)","Write-in","0","35.37%"
"Newtown Twp #1","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","226","37.69%"
"Newtown Twp #1","Presidential Electors  (Dem)","Dean Phillips","10","37.69%"
"Newtown Twp #1","Presidential Electors  (Dem)","Write-in","7","37.69%"
"Newtown Twp #1","Presidential Electors (Rep)","Nikki R. Haley","27","37.69%"
"Newtown Twp #1","Presidential Electors (Rep)","Donald J. Trump","153","37.69%"
"Newtown Twp #1","Presidential Electors (Rep)","Write-in","2","37.69%"
"Newtown Twp #1","United States Senator (Dem)","Robert P. Casey, Jr.","234","37.69%"
"Newtown Twp #1","United States Senator (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","United States Senator (Rep)","Dave McCormick","174","37.69%"
"Newtown Twp #1","United States Senator (Rep)","Write-in","5","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Jack Stollsteimer","24","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Eugene DePasquale","18","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Joe Khan","157","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Keir Bradford-Grey","14","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Jared Solomon","29","37.69%"
"Newtown Twp #1","Attorney General (Dem)","Write-in","0","37.69%"
"Newtown Twp #1","Attorney General (Rep)","Dave Sunday","112","37.69%"
"Newtown Twp #1","Attorney General (Rep)","Craig Williams","59","37.69%"
"Newtown Twp #1","Attorney General (Rep)","Write-in","2","37.69%"
"Newtown Twp #1","Auditor General (Dem)","Malcolm Kenyatta","175","37.69%"
"Newtown Twp #1","Auditor General (Dem)","Mark Pinsley","60","37.69%"
"Newtown Twp #1","Auditor General (Dem)","Write-in","0","37.69%"
"Newtown Twp #1","Auditor General (Rep)","Tim DeFoor","167","37.69%"
"Newtown Twp #1","Auditor General (Rep)","Write-in","3","37.69%"
"Newtown Twp #1","State Treasurer (Dem)","Ryan Bizzarro","125","37.69%"
"Newtown Twp #1","State Treasurer (Dem)","Erin McClelland","110","37.69%"
"Newtown Twp #1","State Treasurer (Dem)","Write-in","0","37.69%"
"Newtown Twp #1","State Treasurer (Rep)","Stacy Garrity","168","37.69%"
"Newtown Twp #1","State Treasurer (Rep)","Write-in","3","37.69%"
"Newtown Twp #1","Representative in Congress (Dem)","Ashley Ehasz","229","37.69%"
"Newtown Twp #1","Representative in Congress (Dem)","Write-in","5","37.69%"
"Newtown Twp #1","Representative in Congress (Rep)","Brian Fitzpatrick","107","37.69%"
"Newtown Twp #1","Representative in Congress (Rep)","Mark Houck","74","37.69%"
"Newtown Twp #1","Representative in Congress (Rep)","Write-in","3","37.69%"
"Newtown Twp #1","Representative in the General Assembly 31st (Dem)","Perry Warren","240","37.69%"
"Newtown Twp #1","Representative in the General Assembly 31st (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Representative in the General Assembly 31st (Rep)","Write-in","70","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","194","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","207","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","199","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","224","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Yota Palli","193","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Charles Quann","184","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","3","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Marie Miller","57","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Ellen Cox","91","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Liz Diehl","45","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Jim Worthington","144","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","David A. Christian","122","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Write-in","4","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Write-in","2","37.69%"
"Newtown Twp #1","Delegate to the Republican National Convention  (Rep)","Write-in","2","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","53","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","89","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","114","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","12","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","20","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","31","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","85","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","4","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","3","37.69%"
"Newtown Twp #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","37.69%"
"Newtown Twp #1","Newtown Twp Dist 1 Committeeman (Rep)","Michael J. Gallagher","135","37.69%"
"Newtown Twp #1","Newtown Twp Dist 1 Committeeman (Rep)","Write-in","29","37.69%"
"Newtown Twp #1","Newtown Twp Dist 1 Committeewoman (Rep)","Write-in","45","37.69%"
"Newtown Twp #2","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","235","31.43%"
"Newtown Twp #2","Presidential Electors  (Dem)","Dean Phillips","9","31.43%"
"Newtown Twp #2","Presidential Electors  (Dem)","Write-in","4","31.43%"
"Newtown Twp #2","Presidential Electors (Rep)","Nikki R. Haley","53","31.43%"
"Newtown Twp #2","Presidential Electors (Rep)","Donald J. Trump","188","31.43%"
"Newtown Twp #2","Presidential Electors (Rep)","Write-in","2","31.43%"
"Newtown Twp #2","United States Senator (Dem)","Robert P. Casey, Jr.","246","31.43%"
"Newtown Twp #2","United States Senator (Dem)","Write-in","2","31.43%"
"Newtown Twp #2","United States Senator (Rep)","Dave McCormick","219","31.43%"
"Newtown Twp #2","United States Senator (Rep)","Write-in","3","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Jack Stollsteimer","30","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Eugene DePasquale","15","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Joe Khan","166","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Keir Bradford-Grey","15","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Jared Solomon","21","31.43%"
"Newtown Twp #2","Attorney General (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Attorney General (Rep)","Dave Sunday","161","31.43%"
"Newtown Twp #2","Attorney General (Rep)","Craig Williams","62","31.43%"
"Newtown Twp #2","Attorney General (Rep)","Write-in","0","31.43%"
"Newtown Twp #2","Auditor General (Dem)","Malcolm Kenyatta","182","31.43%"
"Newtown Twp #2","Auditor General (Dem)","Mark Pinsley","55","31.43%"
"Newtown Twp #2","Auditor General (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Auditor General (Rep)","Tim DeFoor","212","31.43%"
"Newtown Twp #2","Auditor General (Rep)","Write-in","1","31.43%"
"Newtown Twp #2","State Treasurer (Dem)","Ryan Bizzarro","126","31.43%"
"Newtown Twp #2","State Treasurer (Dem)","Erin McClelland","113","31.43%"
"Newtown Twp #2","State Treasurer (Dem)","Write-in","1","31.43%"
"Newtown Twp #2","State Treasurer (Rep)","Stacy Garrity","219","31.43%"
"Newtown Twp #2","State Treasurer (Rep)","Write-in","0","31.43%"
"Newtown Twp #2","Representative in Congress (Dem)","Ashley Ehasz","250","31.43%"
"Newtown Twp #2","Representative in Congress (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Representative in Congress (Rep)","Brian Fitzpatrick","183","31.43%"
"Newtown Twp #2","Representative in Congress (Rep)","Mark Houck","59","31.43%"
"Newtown Twp #2","Representative in Congress (Rep)","Write-in","1","31.43%"
"Newtown Twp #2","Representative in the General Assembly 31st (Dem)","Perry Warren","250","31.43%"
"Newtown Twp #2","Representative in the General Assembly 31st (Dem)","Write-in","1","31.43%"
"Newtown Twp #2","Representative in the General Assembly 31st (Rep)","Write-in","82","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","216","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","220","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","218","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","230","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Yota Palli","204","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Charles Quann","200","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Democratic National Convention (Dem)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Marie Miller","55","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Ellen Cox","116","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Liz Diehl","53","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Jim Worthington","183","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","David A. Christian","136","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Write-in","3","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","31.43%"
"Newtown Twp #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","77","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","114","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","152","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","12","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","17","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","32","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","119","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","2","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","31.43%"
"Newtown Twp #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","31.43%"
"Newtown Twp #2","Newtown Twp Dist 2 Committeeman (Rep)","Michael Iapalucci","210","31.43%"
"Newtown Twp #2","Newtown Twp Dist 2 Committeeman (Rep)","Write-in","3","31.43%"
"Newtown Twp #2","Newtown Twp Dist 2 Committeewoman (Rep)","Joy Ann Kenny-Charlton","207","31.43%"
"Newtown Twp #2","Newtown Twp Dist 2 Committeewoman (Rep)","Write-in","4","31.43%"
"Newtown Twp #3","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","284","38.57%"
"Newtown Twp #3","Presidential Electors  (Dem)","Dean Phillips","11","38.57%"
"Newtown Twp #3","Presidential Electors  (Dem)","Write-in","5","38.57%"
"Newtown Twp #3","Presidential Electors (Rep)","Nikki R. Haley","48","38.57%"
"Newtown Twp #3","Presidential Electors (Rep)","Donald J. Trump","163","38.57%"
"Newtown Twp #3","Presidential Electors (Rep)","Write-in","0","38.57%"
"Newtown Twp #3","United States Senator (Dem)","Robert P. Casey, Jr.","293","38.57%"
"Newtown Twp #3","United States Senator (Dem)","Write-in","2","38.57%"
"Newtown Twp #3","United States Senator (Rep)","Dave McCormick","193","38.57%"
"Newtown Twp #3","United States Senator (Rep)","Write-in","7","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Jack Stollsteimer","54","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Eugene DePasquale","29","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Joe Khan","161","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Keir Bradford-Grey","21","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Jared Solomon","31","38.57%"
"Newtown Twp #3","Attorney General (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Attorney General (Rep)","Dave Sunday","127","38.57%"
"Newtown Twp #3","Attorney General (Rep)","Craig Williams","70","38.57%"
"Newtown Twp #3","Attorney General (Rep)","Write-in","0","38.57%"
"Newtown Twp #3","Auditor General (Dem)","Malcolm Kenyatta","182","38.57%"
"Newtown Twp #3","Auditor General (Dem)","Mark Pinsley","101","38.57%"
"Newtown Twp #3","Auditor General (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Auditor General (Rep)","Tim DeFoor","193","38.57%"
"Newtown Twp #3","Auditor General (Rep)","Write-in","0","38.57%"
"Newtown Twp #3","State Treasurer (Dem)","Ryan Bizzarro","127","38.57%"
"Newtown Twp #3","State Treasurer (Dem)","Erin McClelland","158","38.57%"
"Newtown Twp #3","State Treasurer (Dem)","Write-in","1","38.57%"
"Newtown Twp #3","State Treasurer (Rep)","Stacy Garrity","191","38.57%"
"Newtown Twp #3","State Treasurer (Rep)","Write-in","0","38.57%"
"Newtown Twp #3","Representative in Congress (Dem)","Ashley Ehasz","291","38.57%"
"Newtown Twp #3","Representative in Congress (Dem)","Write-in","1","38.57%"
"Newtown Twp #3","Representative in Congress (Rep)","Brian Fitzpatrick","153","38.57%"
"Newtown Twp #3","Representative in Congress (Rep)","Mark Houck","59","38.57%"
"Newtown Twp #3","Representative in Congress (Rep)","Write-in","0","38.57%"
"Newtown Twp #3","Representative in the General Assembly 31st (Dem)","Perry Warren","297","38.57%"
"Newtown Twp #3","Representative in the General Assembly 31st (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Representative in the General Assembly 31st (Rep)","Write-in","64","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","239","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","255","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","246","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","270","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Yota Palli","236","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Charles Quann","230","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","6","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","2","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Delegate to the Democratic National Convention (Dem)","Write-in","0","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Marie Miller","66","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Ellen Cox","105","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Liz Diehl","53","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Jim Worthington","158","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","David A. Christian","132","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Write-in","2","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Write-in","1","38.57%"
"Newtown Twp #3","Delegate to the Republican National Convention  (Rep)","Write-in","0","38.57%"
